Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1961","1961","ha","556600","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1961","1961","kg/ha","1076.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1961","1961","t","599323","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1962","1962","ha","558000","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1962","1962","kg/ha","502","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1962","1962","t","280143","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1963","1963","ha","556200","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1963","1963","kg/ha","760.6","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1963","1963","t","423045","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1964","1964","ha","562800","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1964","1964","kg/ha","817.3","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1964","1964","t","459979","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1965","1965","ha","560300","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1965","1965","kg/ha","777.3","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1965","1965","t","435501","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1966","1966","ha","552900","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1966","1966","kg/ha","794.9","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1966","1966","t","439491","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1967","1967","ha","549700","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1967","1967","kg/ha","960.2","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1967","1967","t","527801","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1968","1968","ha","560950","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1968","1968","kg/ha","915.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1968","1968","t","513733","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1969","1969","ha","552560","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1969","1969","kg/ha","633.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1969","1969","t","350237","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1970","1970","ha","602720","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1970","1970","kg/ha","755.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1970","1970","t","455550","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1971","1971","ha","580270","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1971","1971","kg/ha","567","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1971","1971","t","329040","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1972","1972","ha","619230","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1972","1972","kg/ha","686.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1972","1972","t","425267","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1973","1973","ha","663770","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1973","1973","kg/ha","514.5","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1973","1973","t","341484","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1974","1974","ha","702542","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1974","1974","kg/ha","716.9","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1974","1974","t","503645","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1975","1975","ha","710326","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1975","1975","kg/ha","597.5","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1975","1975","t","424449","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1976","1976","ha","718931","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1976","1976","kg/ha","724.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1976","1976","t","521105","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1977","1977","ha","724718","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1977","1977","kg/ha","534.6","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1977","1977","t","387415","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1978","1978","ha","738940","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1978","1978","kg/ha","753.1","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1978","1978","t","556475","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1979","1979","ha","760376","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1979","1979","kg/ha","456.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1979","1979","t","347359","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1980","1980","ha","763052","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1980","1980","kg/ha","582.9","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1980","1980","t","444796","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1981","1981","ha","763837","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1981","1981","kg/ha","884.2","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1981","1981","t","675348","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1982","1982","ha","764739","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1982","1982","kg/ha","672.4","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1982","1982","t","514240","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1983","1983","ha","696704","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1983","1983","kg/ha","565.1","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1983","1983","t","393704","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1984","1984","ha","700177","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1984","1984","kg/ha","609.4","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1984","1984","t","426715","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1985","1985","ha","786234","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1985","1985","kg/ha","618","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1985","1985","t","485921","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1986","1986","ha","792685","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1986","1986","kg/ha","547.9","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1986","1986","t","434330","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1987","1987","ha","802442","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1987","1987","kg/ha","557.9","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1987","1987","t","447712","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1988","1988","ha","786059","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1988","1988","kg/ha","481","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1988","1988","t","378092","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1989","1989","ha","815814","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1989","1989","kg/ha","655.8","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1989","1989","t","534995","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1990","1990","ha","818219","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5412","Yield","01371","Almonds, in shell","1990","1990","kg/ha","544.7","E","Estimated value",""
"QCL","Crops and livestock products","150","Europe","5510","Production","01371","Almonds, in shell","1990","1990","t","445700","A","Official figure",""
"QCL","Crops and livestock products","150","Europe","5312","Area harvested","01371","Almonds, in shell","1991","1991","ha","826572","E","Estimated value",""
